story_id,evaluator_code,condition,ai_used_actual,ai_guess_percent,pre_novel,pre_original,pre_rare,pre_appropriate,pre_feasible,pre_publishable,pre_tt_enjoyed,pre_tt_badly_written,pre_tt_boring,pre_tt_funny,pre_tt_twist,pre_tt_future
041b6010-3f4a-4658-a428-5ebfdcce67b1,lgxwuwqq,human_1AI,1.0,69.0,3.0,3.0,3.0,5.0,5.0,3.0,2.0,4.0,7.0,3.0,3.0,4.0
8cd2199c-6ae5-432f-a53e-791f137d81af,wwnfpa3i,human,0.0,34.0,7.0,7.0,5.0,8.0,6.0,6.0,5.0,4.0,2.0,1.0,2.0,1.0
f19e74b7-e71a-4427-8cc2-37aa7f5d6071,3sk9ox8z,human_1AI,0.0,18.0,3.0,3.0,2.0,7.0,1.0,6.0,3.0,2.0,7.0,2.0,1.0,1.0
776ba85a-7ec6-40ca-aff0-d2d7627919ec,m4cqnxwl,human_1AI,0.0,25.0,7.0,4.0,5.0,5.0,2.0,4.0,8.0,5.0,1.0,7.0,9.0,7.0
def36bf5-fb15-4a80-845e-21f8d7f966c9,f168j9u9,human_5AI,1.0,27.0,7.0,6.0,6.0,8.0,8.0,7.0,7.0,8.0,2.0,4.0,3.0,3.0
8a44f295-4adc-4adc-b7bb-dbffb9d5f90c,srf3rh5g,human_1AI,1.0,70.0,3.0,3.0,3.0,7.0,7.0,7.0,8.0,8.0,1.0,1.0,1.0,8.0
8ec6743a-6ab5-4b6b-9c29-b57830dab1a6,rsnop8c5,human,0.0,100.0,3.0,3.0,2.0,7.0,5.0,2.0,4.0,2.0,7.0,2.0,5.0,1.0
863d7eaf-eb05-4d14-8804-6123d8c04d86,qm00f4rw,human,0.0,37.0,6.0,6.0,6.0,8.0,8.0,8.0,7.0,7.0,4.0,3.0,4.0,6.0
a610f7e4-a9a3-428d-8f5c-100f37d872e2,p95gze3r,human_5AI,1.0,38.0,3.0,3.0,2.0,8.0,9.0,8.0,8.0,6.0,1.0,2.0,4.0,7.0
999b17bd-a73b-4459-849b-c8dbd3e6a675,qfwodf79,human,0.0,53.0,1.0,2.0,1.0,4.0,6.0,6.0,3.0,3.0,6.0,2.0,1.0,2.0
