story_id,ai_used_actual,evaluator_code,post_authors_ideas,post_ownership,post_profit,post_ai_assist
39bb06b9-5386-4081-addd-8216cb497a4c,0,h5s29531,5.0,5.0,0,60
392d38b8-ac42-421a-a78a-a252b72d8b8f,1,lj69qgay,5.0,6.0,10,39
f4837cf6-2112-4a94-a0d4-eb99ebf4e102,0,6btyba7j,8.0,8.0,90,11
14f3d216-232c-4b68-9554-3d70e1fc0140,0,tedkq461,8.0,8.0,0,33
cb260fad-db5b-4730-960c-020aa4fd43c5,0,zhigv92y,6.0,6.0,0,50
f4d8edd5-9e4e-4273-878d-db2c27550afa,1,57c3e15t,3.0,2.0,50,19
a93c595e-bd21-42e5-8c65-5bd410cd03af,1,1vbfy2yl,5.0,3.0,50,75
53c1820d-c840-40af-a8b9-7af9bc6bdc7c,0,33st0bp0,7.0,9.0,0,75
7dcc5bbc-7c73-4c85-9453-4bbde2ccd115,0,dz8p83gy,4.0,5.0,0,75
f3a6d784-763f-41fb-b889-11f2bcba72d7,0,ao7kdx1e,8.0,9.0,0,14
6e2752d3-ba40-4b6a-ab6c-65bd82082f2f,1,rtcyhbaf,4.0,4.0,66,100
0958da06-33d6-4f3b-851b-fa9fddffde82,1,zleboiun,3.0,8.0,100,90
6edb9f32-adf8-4513-8b2b-0615980a16df,1,jvgd5aij,5.0,6.0,50,24
e2c83117-b1bb-47f1-9a49-1fdcfe06ae22,0,w0o7j95h,1.0,1.0,10,100
863d7eaf-eb05-4d14-8804-6123d8c04d86,0,y1yu5m3w,6.0,9.0,0,60
f7886106-14d7-4b51-bf73-7d011654222f,1,8hu51lvv,4.0,5.0,50,75
d9d87931-6293-4e67-b582-78b8ec19044f,1,vp70ibqw,3.0,2.0,20,20
0a8643ac-6490-4c68-8b49-f059f3dea152,0,2c79vpxk,4.0,4.0,0,11
32fd4cd2-8aa1-4dde-ac62-896cf13011bd,1,v8xbm6q3,8.0,8.0,90,75
a6d79eec-baff-45fd-962e-ffce6f909692,0,0rp4cj83,9.0,9.0,0,48
57ab2538-39e7-4d42-b6e6-ab38688d415d,1,mlqijmsj,7.0,7.0,75,15
62cdfece-43dd-451a-80d4-98182ab75885,0,x8ysqm6o,9.0,9.0,0,75
59dd7888-c784-4625-a6f5-75d13f7256f0,0,hhv5dzw0,6.0,6.0,0,63
5102b823-e4db-4306-a745-05bbd0092dbd,1,fytkccmb,4.0,5.0,80,0
bdc1978a-7332-4c6f-bef3-1ba0c715f5e8,1,p4mp2588,1.0,6.0,80,0
17918fa7-6907-45ff-8929-406cc7a943ef,1,bquw887u,5.0,5.0,50,55
fbc44a26-879c-4df3-ad22-8a4a79af4707,0,9y1t7at9,7.0,8.0,0,89
6cf0f3e4-b380-4d82-8145-3768e7bbfc93,1,wntxzky3,5.0,7.0,75,7
8a44f295-4adc-4adc-b7bb-dbffb9d5f90c,1,j5hcbbpa,2.0,2.0,60,39
846436df-7dee-4c20-a83a-711251f48828,0,p3a58ss3,5.0,5.0,10,0
f2d658e2-90c4-4942-813d-f4c063b84c93,0,c1rkae0v,3.0,4.0,0,16
